ma_golf_courses,,,,,,,,,,,,,,,,,,,,,,,,
name,address,city,state,zip,region,club_type,holes,par,course_rating,slope_rating,yardage,architect,description,price_min,price_max,price_tier,website_url,booking_url,lat,lng,photo_url,has_driving_range,has_practice_green,is_published
Chicopee Country Club,1290 Burnett Road,Chicopee,MA,1020,Greater Springfield,public,18,,,,,"Brian Silva, Geoffrey S. Cornish",,,,,https://www.chicopeecountryclub.com/,https://www.chicopeecountryclub.com/,42.183233,-72.520901,,,,FALSE
Cohasse Country Club,383 Eastford Road,Southbridge,MA,1550,Greater Worcester,public,9,,,,,Donald Ross,,,,,https://www.cohasse.com/,https://www.cohasse.com/,42.060868,-72.044151,,,,FALSE
Cohasset Golf Club,175 Lamberts Lane,Cohasset,MA,2025,South Shore,private,18,,,,,Donald Ross,,,,,https://www.cohassetgc.org/,,42.254148,-70.838324,,,,FALSE
Cold Spring Country Club,330 Chauncey Walker Street,Belchertown,MA,1007,Greater Springfield,public,18,,,,,Mary Armstrong,,,,,https://www.coldspringcc.com/,https://www.coldspringcc.com/public-tee-times/,42.242850,-72.416477,,,,FALSE
Concord Country Club,246 Old Rd To 9 Acre Corner,Concord,MA,1742,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.concordcc.org/,,42.450126,-71.382298,,,,FALSE
Country Club of Billerica,51 Baldwin Road,Billerica,MA,1821,North Shore,public,18,,,,,William F. Mitchell,,,,,https://www.countryclubofbillerica.com/,https://www.countryclubofbillerica.com/,42.552057,-71.235449,,,,FALSE
Country Club of Greenfield,244 Country Club Road,Greenfield,MA,1301,Greater Springfield,private,18,,,,,"Alex Findlay, Ralph Barton",We are open to the public during specific times. Please call the Pro Shop @ (413) 773-7530 to check for availability.,,,,https://countryclubofgreenfield.net/,,42.618929,-72.595711,,,,FALSE
Country Club of Halifax,100 Country Club Drive,Halifax,MA,2338,South Shore,public,18,,,,,Phil Wogan,,,,,https://www.halifaxcc.com/,https://www.halifaxcc.com/tee-times/,41.988254,-70.846184,,,,FALSE
Country Club of New Bedford,585 Slocum Rd,North Dartmouth,MA,2747,South Shore,private,18,,,,,"Donald Ross, Willie Park Jr.",,,,,https://www.ccnb.golf/,,41.640705,-70.976227,,,,FALSE
Country Club of Pittsfield,639 South Street,Pittsfield,MA,1201,Berkshires,private,18,,,,,Donald Ross,,,,,https://www.ccpittsfield.org/,,42.426642,-73.258896,,,,FALSE
Country Club of Wilbraham,859 Stony Hill Rd,Wilbraham,MA,1095,Greater Springfield,private,18,,,,,William Ogg,,,,,https://ccofwilbraham.com/,,42.113649,-72.459100,,,,FALSE
Cranberry Valley Golf Course,183 Oak Street,Harwich,MA,2645,Cape Cod,public,18,,,,,"Geoffrey S. Cornish, William G. Robinson",,,,,https://www.cranberryvalley.golf/,https://cranberry.chelseareservations.com/,41.696601,-70.061007,,,,FALSE
Crestview Country Club,281 Shoemaker Lane,Agawam,MA,1001,Greater Springfield,public,18,,,,,Geoffrey S. Cornish,,,,,https://www.crestviewcc.org/,https://www.crestviewcc.org/tee-times/,42.034706,-72.649118,,,,FALSE
Crestwood Country Club,90 Wheeler Street,Rehoboth,MA,2769,South Shore,private,18,71,,,,Geoffrey Cornish,,,,,https://www.crestwoodcc.com/,,41.826990,-71.277027,,,,FALSE
Crosswinds Golf Club,424 Long Pond Road,Plymouth,MA,2360,South Shore,public,27,,,,,"Hurdzan, Fry",,,,,https://www.golfcrosswinds.com/,https://www.golfcrosswinds.com/teetimes/,41.891702,-70.625025,,,,FALSE
Crumpin-Fox Club,87 Parmenter Road,Bernardston,MA,1337,Greater Springfield,public,18,,,,,Robert Trent Jones,,,,,https://www.crumpinfox.com/,https://www.crumpinfox.com/,42.680059,-72.522804,,,,FALSE
Crystal Lake Golf Club,940 North Broadway,Haverhill,MA,1830,North Shore,public,18,,,,,Geoffrey S. Cornish,,,,,https://www.crystallake-golf.com/,https://crystal-lake-golf.book.teeitup.com/?course=13676&date=2026-05-25&max=999999,42.802853,-71.140395,,,,FALSE
Cummaquid Golf Club,35 Marstons Lane,Cummaquid,MA,2637,Cape Cod,private,18,,,,,"Herbert Leeds, Joe Lloyd",,,,,https://cummaquidgolf.com/,,41.700188,-70.265307,,,,FALSE
Cyprian Keyes Golf Club,284 East Temple St.,Boylston,MA,1505,Greater Worcester,public,27,,,,,Mark Mungeam,,,,,https://www.cypriankeyes.com/,https://www.cypriankeyes.com/teetimes,42.334268,-71.723638,,,,FALSE
Dedham Country and Polo Club,124 Country Club Rd.,Dedham,MA,2026,Greater Boston,private,18,,,,,Seth Raynor,,,,,https://www.dedhamclub.org/,,42.252934,-71.218711,,,,FALSE
Dennis Highlands Golf Course,825 Old Bass River Road,Dennis,MA,2638,Cape Cod,public,18,,,,,"Michael Hurdzan, Jack Kidwell",,,,,https://www.dennisgolf.com/,https://dennis.chelseareservations.com/,41.727793,-70.182204,,,,FALSE
Dennis Pines Golf Club,50 Golf Course Road,South Dennis,MA,2660,Cape Cod,public,18,,,,,Henry C. Mitchell,,,,,https://www.dennisgolf.com/,https://dennis.chelseareservations.com/,41.731866,-70.153980,,,,FALSE
Dudley Hill Golf Club,80 Airport Rd,Dudley,MA,1571,Greater Worcester,public,9,,,,,Devereaux Emmet,,,,,https://dudleyhillgolf.com/,https://dudleylinks.teesnap.net/,42.047424,-71.924573,,,,FALSE
Duxbury Yacht Club,70 Fairway Lane,Duxbury,MA,2332,South Shore,private,18,,,,,Wayne Stiles,,,,,https://www.duxburyyachtclub.org/,,42.038165,-70.679674,,,,FALSE
DW Field Golf Course,331 Oak St,Brockton,MA,2301,South Shore,public,18,,,,,"John Van Kleek, Wayne Stiles",,,,,https://www.dwfieldgolfcourse.com/,https://www.dwfieldgolfcourse.com/teetimes,42.101637,-71.039099,,,,FALSE
East Mountain Country Club,1458 East Mountain Rd.,Westfield,MA,1085,Greater Springfield,public,18,,,,,Ted Perez Sr.,,,,,https://www.eastmountaincc.com/,https://eastmountaincc.ezlinksgolf.com/index.html#!/search#%2Fsearch,42.157753,-72.699371,,,,FALSE
Easton Country Club,265 Purchase Street,South Easton,MA,2375,South Shore,public,18,,,,,Samuel Mitchell,,,,,https://www.eastoncountryclub.com/,https://www.eastoncountryclub.com/TeeTimes,42.022469,-71.081048,,,,FALSE
Eastward Ho!,325 Fox Hill Road,Chatham,MA,2633,Cape Cod,private,18,,,,,Herbert Fowler,,,,,https://www.eastwardho.org/,,41.718312,-69.983140,,,,FALSE
Edgartown Golf Club,71 Curtis Ln,Edgartown,MA,2539,Cape Cod,private,9,,,,,Connie Lee,,,,,https://edgartowngolfclub.com/,,41.396306,-70.525489,,,,FALSE
Edgewood Golf Course,161 Sheep Pasture Rd,Southwick,MA,1077,Greater Springfield,public,18,,,,,"Geoffrey S. Cornish, William G. Robinson",,,,,https://www.edgewood4golf.com/,https://foreupsoftware.com/index.php/booking/19046/964#teetimes,42.042161,-72.771039,,,,FALSE
Ellinwood Country Club,1928 Pleasant Street,Athol,MA,1331,Greater Worcester,public,18,,,,,"Donald Ross, Geoffrey Cornish",,,,,https://www.ellinwoodgolf.com/,https://app.easyteegolf.com/course/ellinwood-country-club/?days=1,42.561722,-72.220834,,,,FALSE
Essex County Club,153 School Street,Manchester,MA,1944,North Shore,private,18,,,,,Donald Ross,,,,,https://www.essexcc.org/,,42.584749,-70.764608,,,,FALSE
Falcon Golf Club,3352 Goenther Rd Building 3350,Buzzards Bay,MA,2542,Cape Cod,public,9,36,,,,,Tee times are first-come-first-serve,,,,https://mwrcapecod.com/facilities/falcon-golf-course/,,41.650595,-70.561447,,,,FALSE
Fall River Country Club,4232 North Main Street,Fall River,MA,2720,South Shore,private,18,,,,,Willie Park Jr,,,,,https://www.fallrivercc.com/,,41.755735,-71.125541,,,,FALSE
Falmouth Country Club,630 Carriage Shop Road,Falmouth,ME,2536,Cape Cod,public,27,,,,,Louie Rubesa,,,,,https://www.falmouthcountryclub.com/,https://www.falmouthcountryclub.com/,41.598455,-70.556204,,,,FALSE
Far Corner Golf Club,5 Barker Road,West Boxford,MA,1921,North Shore,public,27,,,,,Geoffrey S. Cornish William G. Robinson,,,,,https://farcornergolf.com/,https://foreupsoftware.com/index.php/booking/22586/11259#teetimes,42.732647,-71.084690,,,,FALSE
Farm Neck Golf Club,1 Farm Neck Way,Oak Bluffs,MA,2557,Cape Cod,private,18,,,,,"Geoffrey S. Cornish, William G. Robinson",Limited public tee times,,,,https://www.farmneck.net/,,41.437199,-70.569708,,,,FALSE
Ferncroft Country Club,10 Village Road,Middleton,MA,1949,North Shore,private,27,,,,,Robert Trent Jones Sr.,,,,,https://www.ferncroftcc.com/,,42.603354,-70.977917,,,,FALSE
Forest Park Country Club,41 Forest Park Ave,Adams,MA,1220,Berkshires,public,9,,,,,Alex Findlay,Call for tee time 413-743-3311,,,,https://www.fpccgolf.com/,,42.621536,-73.125449,,,,FALSE
Four Oaks Country Club,1 Clubhouse Lane,Dracut,MA,1826,North Shore,public,18,,,,,Jeffrey Brem,,,,,https://www.fouroakscountryclub.com/,https://fouroaks.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23,42.686749,-71.295301,,,,FALSE
Foxborough Country Club,33 Walnut Street,Foxborough,MA,2035,South Shore,private,18,,,,,Geoffrey Cornish,,,,,https://www.foxboroughcc.com/,,42.044463,-71.251647,,,,FALSE
Framingham Country Club,16 Gates Street,Framingham,MA,1702,Greater Boston,private,18,,,,,"Orrin Edward Smith, William Mitchell",,,,,https://www.framinghamcc.com/,,42.291744,-71.466617,,,,FALSE
Franconia Golf Course,619 Dwight Road,Springfield,MA,1108,Greater Springfield,public,18,72,,,,Geoffrey S. Cornish,,,,,https://vets-franconia-golf.com/,https://foreupsoftware.com/index.php/booking/22868/12165#teetimes,42.063324,-72.538295,,,,FALSE
Franklin Country Club,627 East Central Street,Franklin,MA,2038,Greater Boston,private,18,,,,,Wayne Stiles,,,,,https://www.franklincc.com/Club/Scripts/Home/home.asp,,42.078588,-71.369515,,,,FALSE
Fresh Pond Golf Club,691 Huron Ave,Cambridge,MA,2138,Greater Boston,public,9,,,,,"Donald Ross, Walter Irving Johnson Jr.",,,,,https://freshpondgolf.com/,https://secure.cambridgema.gov/webtrac/web/search.html?module=GR,42.381151,-71.152987,,,,FALSE
Furnace Brook Golf Club,20 Resevoir Rd,Wollaston,MA,2170,Greater Boston,public,9,,,,,Charles Eliot,,,,,https://www.furnacebrookgolf.com/,https://foreupsoftware.com/index.php/booking/21810/8949#teetimes,42.257607,-71.022290,,,,FALSE
Gannon Municipal Golf Course,60 Great Woods Rd,Lynn,MA,1904,North Shore,public,18,,,,,Wayne Stiles,,,,,https://gannongolfclub.com/,https://gannon.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,42.486672,-70.976970,,,,FALSE
Gardner Municipal Golf Course,152 Eaton Street,Gardner,MA,1440,Greater Worcester,public,18,,,,,Samuel Mitchell,,,,,https://www.gardnergolfcourse.com/,https://www.gardnergolfcourse.com/book-tee-times/,42.598312,-71.993551,,,,FALSE
Geaa Golf Club,303 Crane Ave,Pittsfield,MA,1201,Berkshires,public,9,,,,,Rowland Armacost,Book Your Tee Time: 413-443-5746,,,,https://www.geaa-golf.com/,,42.478865,-73.231566,,,,FALSE
George Wright Golf Course,420 West Street,Hyde Park,MA,2136,Greater Boston,public,18,,,,,Donald Ross,,,,,https://cityofbostongolf.com/,https://georgewright.cps.golf/,42.268400,-71.132862,,,,FALSE
Granite Links Golf Club,100 Quarry Hills Drive,Quincy,MA,2169,Greater Boston,public,27,,,,,John Sanford,,,,,https://www.granitelinks.com/,https://www.granitelinks.com/web/pages/reserve-a-tee-time,42.241234,-71.050153,,,,FALSE
GreatHorse,128 Wilbraham Road,Hampden,MA,1036,Greater Springfield,private,18,,,,,Brian Silva,,,,,https://www.greathorse.com/,,42.066607,-72.432274,,,,FALSE
Green Harbor Golf Club,624 Webster Street,Marshfield,MA,2050,South Shore,public,18,,,,,Manuel Francis,,,,,https://www.greenharborgolfclub.com/,https://greenharborgc.teesnap.net/,42.085506,-70.687853,,,,FALSE
Green Hill Muni Golf Course,1929 Officer Manny Familia Way,Worcester,MA,1605,Greater Worcester,public,18,,,,,"William F. Mitchell, William Ogg",,,,,https://greenhillgc.com/,https://foreupsoftware.com/index.php/booking/21206/7270?_gl=1*l6lcn4*_ga*MjExNjgzMTI2LjE3Nzk3MzMxOTA.*_ga_WQPLP348DP*czE3Nzk3MzMxODkkbzEkZzAkdDE3Nzk3MzMxOTEkajU4JGwwJGgw#teetimes,42.287793,-71.779107,,,,FALSE
Greenock Country Club,220 West Park St.,Lee,MA,1238,Berkshires,public,9,,,,,Donald Ross,,,,,https://www.greenockcc.com/,https://player.eagleclubsystems.online/#/tee-slot?dbname=gc20220515,42.304613,-73.258107,,,,FALSE
Groton Country Club,94 Lovers Lane,Groton,MA,1450,Greater Worcester,public,9,,,,,,,,,,https://www.grotoncountryclub.com/,https://www.tee-on.com/PubGolf/servlet/com.teeon.teesheet.servlets.golfersection.WebBookingSearchSteps?FromTrailSearch=true&OriginalReferrer=https://www.grotoncountryclub.com/&FromCourseWebsite=true&CourseCode=GRCC&CourseGroupID=10898&Referrer=www.tee-on.com,42.601497,-71.557543,,,,FALSE
Hardwick Crossing Country Club,262 Lower Road,Gilbertville,MA,1031,Greater Worcester,public,9,,,,,Manuel Francis,,,,,https://www.hardwickcrossing.com/,https://foreupsoftware.com/index.php/booking/21764/8967#teetimes,42.308673,-72.190882,,,,FALSE
Harmon Golf,168 Concord Street,Rockland,MA,2370,South Shore,private,9,,,,,Brian Silva,,,,,https://harmongolf.boston/,,42.117432,-70.909137,,,,FALSE
Hatherly Country Club,663 Hatherly Rd,Scituate,MA,2066,South Shore,private,18,,,,,Samuel Mitchell,,,,,https://www.hatherlycc.com/,,42.237836,-70.768519,,,,FALSE
Haverhill Golf & Country Club,58 Brickett Lane,Haverhill,MA,1830,North Shore,private,18,,,,,Wayne Stiles,,,,,https://www.haverhillcc.com/,,42.812902,-71.075033,,,,FALSE
Hazelton Golf Club,327 Summer St.,Rehoboth,MA,2769,South Shore,public,18,,,,,Geofrey Cornish,Call for tee time 508-557-1856,,,,https://www.hazeltongolfclub.com/,,41.828669,-71.292121,,,,FALSE
Heather Hill Country Club,149 W Bacon Street,Plainville,MA,2762,South Shore,public,27,,,,,David Mezzacane,,,,,https://www.heatherhillcountryclub.com/,https://heatherhill.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,41.995323,-71.347328,,,,FALSE
Hemlock Ridge Golf Course,220 Holland Rd,Fiskdale,MA,1518,Greater Worcester,public,9,,,,,Philip Logan,Call for tee time 508-347-9935,,,,https://hemlockridgegolfcourse.com/,,42.094254,-72.126934,,,,FALSE
Heritage Country Club,85 Sampson Rd,Charlton,MA,1507,Greater Worcester,public,18,71,,,,William G. Robinson,,,,,https://heritagecountryclub.teesnap.net/,,42.127708,-72.020976,,,,FALSE
Heritage Hill Golf Course,17 Heritage Hill Drive,Lakeville,MA,2347,South Shore,public,18,,,,,"Bill Robinson, Geoffrey Cornish",,,,,https://golfheritagehill.com/,https://golfheritagehill.com/book-a-tee-time/,41.839116,-70.953194,,,,FALSE
Hickory Hill Golf Course,200 North Lowell Street,Methuen,MA,1844,North Shore,public,18,,,,,Manny Francis,,,,,https://golfhickoryhill.com/,https://foreupsoftware.com/index.php/booking/19557/1829?_gl=1*1x0cbja*_ga*MTg0Nzk0MDQ0MS4xNzc5NzMzNzM5*_ga_WQPLP348DP*czE3Nzk3MzM3MzkkbzEkZzAkdDE3Nzk3MzM3MzkkajYwJGwwJGgw#/teetimes,42.697438,-71.235288,,,,FALSE
Highfields Golf & Country Club,42 Magill Drive,Grafton,MA,1519,Greater Worcester,public,18,,,,,Cornish Silva Mungeam,,,,,https://www.highfieldsgolfcc.com/,https://www.chronogolf.com/club/highfields-golf-country-club,42.194778,-71.680009,,,,FALSE
